Дата;Регион;Значение
2019-08-01;Псковская область;3.66
2019-08-01;Республика Башкортостан;-7.81
2019-08-01;Республика Бурятия;1.38
2019-08-01;Республика Дагестан;-5.78
2019-08-01;Республика Ингушетия;13.26
2019-08-01;Республика Калмыкия;19.78
2019-08-01;Республика Карачаево-Черкессия;65.91
2019-08-01;Республика Карелия;9.07
2019-08-01;Республика Коми;-0.11
2019-08-01;Республика Марий Эл;2.61
2019-08-01;Республика Саха (Якутия);3.07
2019-08-01;Республика Северная Осетия-Алания;20.12
2019-08-01;Республика Татарстан;5.25
2019-08-01;Республика Тыва;-2.47
2019-08-01;Республика Хакасия;13.70
2019-08-01;Ростовская область;20.50
2019-08-01;Рязанская область;20.41
2019-08-01;Самарская область;5.49
2019-08-01;Санкт-Петербург;18.50
2019-08-01;Саратовская область;-0.13
2019-08-01;Сахалинская область;-16.85
2019-08-01;Свердловская область;9.42
2019-08-01;Смоленская область;7.46
2019-08-01;Ставропольский край;16.70
2019-08-01;Тамбовская область;6.66
2019-08-01;Тверская область;15.78
2019-08-01;Томская область;14.46
2019-08-01;Тульская область;14.99
2019-08-01;Тюменская область;6.21
2019-08-01;Удмуртская Республика;4.51
2019-08-01;Ульяновская область;9.19
2019-08-01;Хабаровский край;2.50
2019-08-01;Ханты-Мансийский АО - Югра;6.21
2019-08-01;Челябинская область;6.55
2019-08-01;Чеченская Республика;15.50
2019-08-01;Чувашская Республика;-0.32
2019-08-01;Чукотский АО;-28.44
2019-08-01;Ямало-Ненецкий АО;6.20
2019-08-01;Ярославская область;2.76
2019-09-01;Россия;21.90
2019-09-01;Адыгея;39.70
2019-09-01;Алтай;64.20
2019-09-01;Алтайский край;20.01
2019-09-01;Амурская область;17.53
2019-09-01;Архангельская область;20.14
2019-09-01;Астраханская область;15.45
2019-09-01;Белгородская область;12.33
2019-09-01;Брянская область;7.87
2019-09-01;Владимирская область;33.54
2019-09-01;Волгоградская область;9.83
2019-09-01;Вологодская область;16.01
2019-09-01;Воронежская область;31.48
2019-09-01;Еврейская автономная область;-12.03
2019-09-01;Забайкальский край;-12.47
2019-09-01;Ивановская область;21.75
2019-09-01;Иркутская область;7.13
2019-09-01;Кабардино-Балкарская Республика;26.19
2019-09-01;Калининградская область;41.39
2019-09-01;Калужская область;36.61
2019-09-01;Камчатский край;21.24
2019-09-01;Кемеровская область;25.80
2019-09-01;Кировская область;25.04
2019-09-01;Костромская область;33.36
2019-09-01;Краснодарский край;20.28
2019-09-01;Красноярский край;24.01
2019-09-01;Курганская область;31.11
2019-09-01;Курская область;23.68
2019-09-01;Ленинградская область;23.12
2019-09-01;Липецкая область;32.66
2019-09-01;Магаданская область;2.08
2019-09-01;Мордовия;36.64
2019-09-01;Москва;21.81
2019-09-01;Московская область;21.81
2019-09-01;Мурманская область;9.39
2019-09-01;Нижегородская область;21.67
2019-09-01;Новгородская область;9.37
2019-09-01;Новосибирская область;27.77
2019-09-01;Омская область;13.08
2019-09-01;Оренбургская область;23.69
2019-09-01;Орловская область;18.83
2019-09-01;Пензенская область;25.36
2019-09-01;Пермский край;12.66
2019-09-01;Приморский край;3.06
2019-09-01;Псковская область;12.35
2019-09-01;Республика Башкортостан;4.81
2019-09-01;Республика Бурятия;19.61
2019-09-01;Республика Дагестан;3.83
2019-09-01;Республика Ингушетия;21.16
2019-09-01;Республика Калмыкия;20.97
2019-09-01;Республика Карачаево-Черкессия;75.80
2019-09-01;Республика Карелия;18.95
2019-09-01;Республика Коми;6.72
2019-09-01;Республика Марий Эл;25.12
2019-09-01;Республика Саха (Якутия);16.44
2019-09-01;Республика Северная Осетия-Алания;36.74
2019-09-01;Республика Татарстан;19.00
2019-09-01;Республика Тыва;20.13
2019-09-01;Республика Хакасия;26.14
2019-09-01;Ростовская область;22.94
2019-09-01;Рязанская область;39.83
2019-09-01;Самарская область;17.86
2019-09-01;Санкт-Петербург;23.12
2019-09-01;Саратовская область;13.42
2019-09-01;Сахалинская область;6.94
2019-09-01;Свердловская область;23.12
2019-09-01;Смоленская область;20.21
2019-09-01;Ставропольский край;24.73
2019-09-01;Тамбовская область;17.78
2019-09-01;Тверская область;32.89
2019-09-01;Томская область;17.35
2019-09-01;Тульская область;19.53
2019-09-01;Тюменская область;13.36
2019-09-01;Удмуртская Республика;24.11
2019-09-01;Ульяновская область;23.41
2019-09-01;Хабаровский край;14.01
